id_venta;fecha;id_cliente;id_producto;id_tienda;id_promocion;cantidad;precio_unitario;descuento
16225;11/07/2025;769;217;6;;1;3090.69;0.0
55549;27 de octubre de 2025;4935;460;4;;1;370.36;0.0
11114;2024-08-29;2780;101;13;;1;662.91;0.0
18873;2024-02-12;2936;99;2;;1;76.36;0.0
42853;2025-09-22;447;208;11;20.0;1;1708.42;35.0
41167;2024-11-15;954;426;12;23.0;1;330.2;20.0
57583;2025-04-15;167;84;10;;1;586.25;0.0
42758;2024-08-20;2274;178;10;;1;704.58;0.0
38622;02/05/2025;3045;99;4;;1;76.3;0.0
43045;2024-06-30;4921;67;14;;1;1445.17;0.0
38853;14/02/2024;167;46;14;;1;589.81;0.0
54100;2024-04-07;4219;353;5;2.0;3;561.62;20.0
27992;15/06/2024;1251;417;13;;1;770.27;
19215;10/08/2025;1988;435;13;;1;309.91;0.0
9024;08/06/2025;167;460;4;;1;405.82;
27646;2025-12-24;3785;431;13;11.0;1;253.16;35.0
44811;20/10/2025;1813;9;10;9.0;1;1414.29;
13356;2 de abril de 2024;4880;418;8;2.0;2;231.9;20.0
33856;2024-03-04;3699;60;3;;1;590.09;0.0
44650;03/06/2025;4018;261;11;;1;510.84;0.0
27511;2024-12-02;447;69;5;5.0;1;201.28;30.0
35565;15/05/2025;3595;349;11;;1;1009.03;0.0
49279;8 de marzo de 2024;3698;237;5;;1;2092.82;0.0
54780;2024-10-31;275;253;9;;1;137.66;0.0
4949;2025-03-23;4081;208;14;22.0;1;1700.79;
21395;03/02/2025;424;342;5;;1;3523.81;0.0
14683;2024-12-27;2232;427;8;;1;296.78;0.0
46394;2024-07-31;3681;426;14;;2;348.44;0.0
34444;27 de diciembre de 2024;1446;210;13;;1;979.84;
30943;2025-02-05;4378;277;6;;1;4000.69;0.0
19106;2024-07-28;249;272;12;6.0;1;93.11;35.0
33850;27/10/2025;4329;449;8;;1;320.51;0.0
54486;27/06/2024;1100;426;13;;1;355.78;0.0
55343;2025-10-15;1647;342;2;9.0;1;3933.24;10.0
59542;2024-04-30;3830;154;14;;3;4147.86;0.0
27790;29/04/2025;2578;296;9;;2;3710.18;0.0
34730;14 de agosto de 2024;3300;434;9;;1;972.17;0.0
59098;23 de abril de 2024;4443;208;4;;1;1782.38;0.0
24535;15/05/2024;4181;388;15;;1;500.61;0.0
11659;2024-12-05;4752;52;4;5.0;1;837.16;30.0
31772;22/11/2025;4501;460;6;10.0;1;396.07;10.0
10927;2025-10-30;4767;342;7;;1;3576.08;0.0
7723;26/03/2025;1186;395;9;22.0;3;1910.47;25.0
34763;2024-12-26;4011;9049;6;;2;4051.88;0.0
849;2025-10-22;2911;493;7;;1;340.27;0.0
18251;2024-10-22;1526;180;5;3.0;3;5028.61;20.0
278;06/09/2025;1017;458;3;;3;1441.05;0.0
34578;27 de octubre de 2025;4503;342;14;;2;3815.73;0.0
56356;04/10/2025;4542;127;15;;1;343.15;0.0
1181;22/01/2025;4767;333;15;;1;3866.78;0.0
48552;2024-10-23;3332;479;12;26.0;3;302.16;25.0
52616;20/04/2025;2379;254;13;;1;560.98;0.0
11062;15 de noviembre de 2024;1587;344;14;23.0;1;4598.28;20.0
37142;13 de mayo de 2024;4082;1;3;;2;5986.33;0.0
20914;16/07/2025;4657;426;7;29.0;2;339.94;25.0
55465;12 de septiembre de 2024;2524;208;12;;2;1876.01;0.0
21999;08/07/2025;1986;366;5;;1;2411.74;0.0
12267;2024-10-22;1881;231;14;3.0;1;314.11;20.0
16132;17/05/2024;2531;9;15;;1;1379.58;0.0
54245;31 de enero de 2024;3045;9;2;;1;1444.24;0.0
31444;24/03/2024;4082;142;4;1.0;1;82.31;10.0
2593;27/10/2024;4322;337;11;;1;355.62;0.0
12545;2024-12-23;1202;6;11;5.0;3;4153.2;30.0
7539;26 de abril de 2025;4946;329;6;;1;79.1;0.0
35595;17 de julio de 2025;3683;426;5;29.0;1;331.9;25.0
32042;2024-11-23;824;479;7;4.0;2;321.6;15.0
24590;23 de noviembre de 2024;4261;253;12;4.0;1;136.55;15.0
44946;4 de noviembre de 2024;1336;261;12;;2;482.7;0.0
28095;2025-10-06;584;9;7;;1;1255.81;0.0
46454;23/11/2024;1597;422;11;4.0;1;6051.22;15.0
12725;2024-04-28;982;261;14;;1;557.03;0.0
30822;2024-11-28;451;435;15;4.0;1;288.9;15.0
28852;23/12/2024;3110;220;14;5.0;1;4089.1;30.0
41898;25/03/2025;210;449;5;22.0;1;320.51;25.0
34771;2024-09-18;886;3;15;13.0;2;4862.76;10.0
35251;02/01/2024;167;153;11;18.0;1;1431.88;35.0
29604;24 de agosto de 2025;4865;349;12;;1;985.59;0.0
12838;22/12/2025;4914;373;7;11.0;2;319.08;35.0
3936;16/06/2024;4599;90;13;;1;79.17;0.0
8915;13 de diciembre de 2024;316;147;13;17.0;1;250.53;40.0
32201;20/10/2024;2707;373;4;26.0;1;311.76;25.0
33956;24/11/2024;3558;337;2;4.0;3;367.42;15.0
7307;2024-11-24;2211;261;10;4.0;1;504.57;15.0
6020;2 de abril de 2024;1516;376;6;2.0;1;742.21;20.0
15216;10/09/2024;1114;272;13;;2;87.17;0.0
47937;12/08/2024;1226;449;14;;1;346.64;0.0
47657;2024-04-06;167;458;8;2.0;1;1373.77;20.0
29763;1 de abril de 2025;4889;253;15;8.0;1;129.28;40.0
18112;2024-04-07;2957;460;5;2.0;1;420.66;20.0
57639;27/04/2024;31;384;14;;3;610.44;
22088;25/11/2024;623;69;13;4.0;1;184.71;15.0
29263;31/12/2024;705;333;6;;1;3971.1;
49203;20/03/2025;2769;393;15;7.0;1;500.53;25.0
47945;2024-09-02;1194;208;15;19.0;1;1883.31;15.0
45154;17/12/2025;4125;7;1;11.0;1;3563.03;35.0
36230;2024-04-18;4392;208;11;;1;1773.57;0.0
40727;2025-12-08;2275;193;9;11.0;1;271.04;35.0
28783;2025-03-26;2134;261;15;22.0;2;495.95;25.0
15558;17/04/2024;1916;171;4;;1;757.4;0.0
850;10 de abril de 2025;3698;257;6;;1;201.12;0.0
39379;2025-12-12;604;208;5;11.0;2;1932.85;35.0
43983;2024-05-15;3643;429;5;;1;1976.97;0.0
29577;28/12/2025;1158;342;15;;2;3574.8;0.0
40180;20/06/2024;3886;261;7;;1;532.08;0.0
6937;4 de agosto de 2025;428;426;13;15.0;2;335.2;40.0
35958;08/12/2024;2408;9;12;5.0;1;1405.37;
16854;11/11/2024;2272;84;13;23.0;1;539.66;20.0
6852;2025-04-11;2137;153;9;;1;1433.01;0.0
46900;2024-02-01;2837;342;5;;3;3906.55;0.0
12994;23 de octubre de 2024;3937;233;3;26.0;1;759.36;25.0
42047;18/04/2024;4673;9;5;;1;1470.25;0.0
24596;15 de diciembre de 2024;4101;180;10;17.0;1;4762.59;40.0
37800;22/04/2025;4344;100;10;16.0;1;2737.29;15.0
6176;2025-07-01;3671;27;10;36.0;1;90.97;30.0
8021;2024-04-06;1712;342;14;2.0;1;3748.06;20.0
16063;25/11/2025;2457;449;15;10.0;1;341.26;10.0
9368;09/12/2025;1601;67;5;11.0;1;1517.8;35.0
29939;2025-05-01;447;231;13;;1;343.94;0.0
34243;19 de octubre de 2024;802;229;6;3.0;1;440.42;20.0
33009;2025-12-19;4081;458;6;11.0;1;1338.79;35.0
13442;14 de febrero de 2024;29;116;12;;3;1452.74;0.0
43919;20 de enero de 2025;4997;417;6;;1;743.8;0.0
56969;2025-05-03;2080;435;5;;1;287.81;0.0
41309;2025-11-27;251;9;4;10.0;2;1409.09;10.0
23375;15/12/2024;3591;29;6;17.0;2;138.68;40.0
10802;17/04/2024;2669;99;3;;1;77.55;
52285;25 de noviembre de 2025;3683;180;13;10.0;1;4680.83;10.0
42985;2024-01-28;881;231;2;;1;335.55;0.0
22981;29/12/2024;4322;435;14;;1;288.32;0.0
50237;2024-06-02;3299;363;10;;1;7054.67;0.0
51423;2025-12-18;4846;14;8;11.0;1;3000.62;35.0
54957;23 de octubre de 2024;1601;180;7;26.0;1;5013.2;25.0
59388;2025-09-25;1999;426;3;;1;314.9;0.0
41971;2024-12-20;4378;253;7;5.0;1;143.95;30.0
36402;14/10/2024;2311;429;4;;2;1764.31;0.0
17456;2025-12-24;31;314;8;11.0;3;3867.53;35.0
50813;2024-11-25;2036;483;10;4.0;1;490.26;15.0
13379;7 de enero de 2025;4322;346;4;;2;3873.75;0.0
17040;2024-07-23;3018;208;7;6.0;1;1714.69;35.0
11125;09/05/2025;4288;9;10;;1;1401.94;0.0
22787;29/03/2024;1351;208;1;;1;1883.84;0.0
30488;2025-08-27;1160;429;14;;1;1764.9;0.0
57586;9 de noviembre de 2025;3565;449;5;;1;318.83;0.0
31798;07/11/2024;1194;205;12;;1;1172.45;0.0
26765;09/04/2024;3454;292;14;;1;1890.24;0.0
9807;2025-10-17;1210;362;10;9.0;1;7807.02;10.0
19600;27/01/2024;2035;350;5;;1;338.61;0.0
12968;27 de marzo de 2024;2235;125;7;;1;294.63;0.0
6007;12/10/2025;169;9;11;38.0;1;1412.38;20.0
59446;20/04/2025;2188;342;6;;1;3615.76;0.0
52489;22 de diciembre de 2025;496;426;6;11.0;3;330.97;35.0
54727;23/12/2025;2180;208;10;11.0;1;1771.77;35.0
12427;22/03/2025;447;208;2;22.0;3;1874.87;25.0
58197;16/07/2024;2079;342;6;14.0;1;3873.16;10.0
46259;08/11/2024;2702;342;4;23.0;2;3595.0;20.0
1176;27/12/2024;1342;342;8;;1;4004.47;0.0
48687;30/11/2025;1694;435;10;;1;317.99;
8351;25/11/2024;4808;460;5;4.0;2;373.6;15.0
45493;07/02/2025;85;342;11;;2;3911.78;0.0
30109;2024-03-17;1164;208;14;;1;1683.99;0.0
58558;2025-04-20;87;90;6;;2;79.43;0.0
45728;11/12/2025;1026;147;2;11.0;1;251.74;35.0
48283;23/12/2025;435;337;1;11.0;1;334.81;35.0
15254;2024-03-19;2108;240;4;1.0;2;215.13;10.0
42333;29 de octubre de 2024;4274;65;10;;1;4752.05;0.0
38529;29 de diciembre de 2024;4983;418;11;;1;226.43;0.0
25872;02/02/2024;575;46;4;;1;566.35;0.0
13557;04/02/2024;1526;344;4;;2;4893.82;0.0
39591;22/03/2024;304;257;15;1.0;1;178.8;10.0
44052;14/05/2025;1356;410;5;;1;2079.67;0.0
28120;2024-03-10;447;326;13;;1;2911.88;0.0
35814;2025-12-25;1916;429;15;;2;1878.44;0.0
13127;03/11/2024;3698;406;4;;1;2724.9;0.0
26397;05/12/2024;304;261;1;5.0;1;482.63;30.0
56140;2024-05-05;729;342;11;;3;3552.33;0.0
16272;21/12/2024;1259;486;11;5.0;1;207.7;30.0
16508;26 de octubre de 2024;4322;9;12;26.0;1;1470.4;25.0
10154;25/03/2025;493;161;5;22.0;1;186.13;25.0
8122;6 de agosto de 2025;1354;107;13;;2;2217.85;0.0
59016;04/08/2024;4018;336;10;;1;7500.7;0.0
43146;10 de diciembre de 2025;1461;253;8;11.0;1;134.56;35.0
54325;6 de septiembre de 2025;447;208;8;;2;1702.52;
48903;8 de mayo de 2025;999;342;2;;1;4008.78;0.0
4087;19 de septiembre de 2024;4248;50;8;13.0;1;5053.07;10.0
18267;2025-07-17;3549;6;10;29.0;1;4392.83;25.0
19043;2025-04-04;2004;426;14;8.0;1;326.85;40.0
43744;2024-05-25;1987;208;14;;1;1764.41;0.0
19733;29/04/2024;2448;100;10;;1;2828.59;0.0
38073;2025-01-26;4322;342;15;;1;3869.29;0.0
24469;2024-01-30;2402;423;2;;3;1576.28;0.0
3157;26 de diciembre de 2025;4081;9;10;;1;1397.31;0.0
31758;2025-01-13;2728;438;5;;1;3313.8;0.0
10870;25/03/2024;4656;112;14;;1;267.83;0.0
52848;2024-11-18;241;253;13;;2;139.13;0.0
31639;09/08/2024;3738;112;15;;3;259.99;0.0
19575;08/02/2025;4454;435;15;;1;319.71;0.0
5848;2024-05-15;1572;344;1;;2;4479.68;0.0
40074;2025-03-01;4322;180;4;;1;4374.89;0.0
53438;21/12/2024;2798;240;14;5.0;2;212.57;30.0
12249;21/08/2025;3850;9027;7;;1;444.44;0.0
19967;17/04/2025;1681;99;5;;1;79.48;0.0
25229;25/09/2025;4831;449;12;;2;354.23;0.0
11913;20/04/2024;3589;261;14;;1;549.11;0.0
59940;2024-12-05;3252;125;1;5.0;2;283.81;30.0
44969;29/01/2024;4011;402;4;;1;3790.1;0.0
23446;21 de diciembre de 2024;321;429;1;5.0;2;1793.31;30.0
42329;13 de abril de 2024;3683;493;8;;1;366.7;0.0
19420;2025-11-20;2728;493;13;;1;352.55;0.0
53097;27/11/2024;86;208;12;4.0;1;1896.87;15.0
11987;2024-11-01;2013;9015;6;;1;3725.21;0.0
49193;6 de abril de 2024;3276;261;11;2.0;1;481.85;20.0
41152;2025-12-08;1229;342;14;11.0;2;3520.09;35.0
485;27 de diciembre de 2025;447;201;5;;1;2065.54;0.0
2781;2025-03-26;803;417;6;22.0;1;751.3;25.0
9037;2025-04-16;4819;289;8;;1;5098.19;0.0
907;24/03/2025;2557;342;8;22.0;2;3931.9;25.0
50048;2025-07-31;2165;208;15;31.0;1;1835.54;25.0
19198;13/07/2024;4075;426;15;14.0;1;341.36;10.0
34827;2025-12-21;1897;484;1;11.0;2;358.16;35.0
16496;19 de julio de 2024;773;426;9;;1;323.37;0.0
23382;14/10/2024;1936;435;9;;1;317.86;0.0
262;2025-10-25;925;429;7;21.0;1;1791.1;10.0
49626;26/11/2025;4503;449;14;10.0;2;351.04;10.0
51164;2024-03-19;854;9;15;1.0;1;1293.41;10.0
50467;07/12/2024;2548;180;8;5.0;1;4499.33;30.0
213;25 de marzo de 2025;1221;67;13;22.0;2;1344.37;25.0
51286;07/09/2024;447;180;15;;2;4657.52;0.0
54573;6 de febrero de 2024;2719;376;15;;3;754.49;0.0
35214;9 de diciembre de 2024;1813;253;9;5.0;1;149.51;30.0
38581;2024-11-29;1426;40;13;4.0;2;888.2;15.0
25544;2025-09-10;3770;180;9;;1;4655.43;0.0
58243;2025-08-31;447;6;10;;1;4315.15;0.0
30831;19 de marzo de 2025;1126;9;12;7.0;1;1319.08;25.0
56081;28/04/2024;4322;76;8;;1;712.13;0.0
15775;2024-04-10;4365;84;6;;1;607.03;0.0
31755;22/12/2024;1730;208;1;5.0;1;1932.71;30.0
17123;2025-03-26;1386;46;12;22.0;1;588.97;25.0
4213;15/12/2025;52;112;2;11.0;1;251.47;35.0
57590;2025-12-25;702;344;15;;1;4900.88;0.0
15713;2025-05-24;3273;253;10;25.0;1;131.46;40.0
15915;2025-05-12;2045;384;11;;1;586.43;0.0
25868;2024-08-23;112;349;7;;1;1005.81;0.0
43457;2024-12-30;4031;342;6;;3;3997.76;0.0
31373;2025-03-30;4126;329;15;22.0;2;78.53;25.0
19394;2024-04-24;1221;489;9;;1;4668.14;0.0
14702;2024-04-03;1194;342;14;2.0;1;3848.97;20.0
34983;8 de septiembre de 2024;4213;313;1;;1;3225.48;
48622;02/01/2024;447;426;15;18.0;2;329.25;
17597;02/08/2024;2963;342;2;;1;3915.85;0.0
5712;14/09/2024;3643;285;3;13.0;1;488.12;10.0
27060;2024-07-09;2773;261;6;24.0;2;528.06;15.0
25991;2024-12-21;4461;208;8;5.0;1;1817.84;30.0
23731;2024-12-27;2001;435;10;;2;298.84;0.0
19661;2024-12-03;1822;194;12;5.0;1;429.78;30.0
14277;20/12/2025;3698;435;3;11.0;1;309.35;35.0
20703;27 de diciembre de 2024;803;426;3;;1;340.39;0.0
1593;2025-01-30;447;342;5;;3;3856.6;0.0
50869;19/10/2024;1259;499;14;26.0;1;110.6;25.0
11151;17/04/2025;1412;79;10;;2;345.71;0.0
53457;28/11/2025;675;342;5;39.0;1;3627.75;25.0
4208;03/04/2025;3566;158;14;8.0;1;1264.82;40.0
28285;25/01/2024;4850;253;15;35.0;1;131.36;10.0
25024;10 de abril de 2025;1535;388;2;;1;475.22;0.0
40695;2024-12-30;1988;426;12;;1;354.15;0.0
32156;11/03/2024;85;198;14;;1;4420.48;0.0
44780;2024-08-30;1597;126;13;;1;4869.25;0.0
45968;2025-11-15;1526;89;1;;1;1579.57;0.0
38951;11 de junio de 2025;824;332;5;;1;996.76;
43644;2024-03-18;2714;201;3;1.0;1;2191.4;10.0
18079;2024-12-18;1158;372;7;17.0;1;471.99;40.0
47624;12/08/2025;1813;84;14;;1;611.19;0.0
49366;18 de noviembre de 2025;2988;426;2;;1;356.57;0.0
45250;2024-12-10;2762;427;9;5.0;3;335.04;30.0
10539;31 de diciembre de 2024;1088;208;5;;1;1704.69;0.0
56488;09/07/2025;4552;426;5;;1;316.95;0.0
39958;18 de febrero de 2024;2575;208;10;;1;1954.04;0.0
44181;2024-09-13;101;208;1;;1;1886.95;0.0
53663;20/12/2025;2593;393;15;11.0;1;539.4;35.0
23859;2024-01-05;4436;9;4;18.0;1;1442.35;35.0
16197;2025-01-14;460;9;13;;1;1269.36;0.0
1609;25/10/2025;1158;202;2;21.0;2;183.79;10.0
33795;2025-09-28;809;208;13;;1;1821.56;0.0
14165;15 de abril de 2025;329;84;10;;1;606.75;0.0
48462;28/11/2024;2967;375;11;4.0;2;748.38;15.0
2211;2024-11-29;3517;426;15;4.0;1;335.86;15.0
19303;2024-05-15;4294;9;11;;1;1350.57;0.0
57965;08/12/2025;4206;208;13;11.0;2;1898.04;35.0
55195;17 de diciembre de 2025;355;427;4;11.0;1;296.9;35.0
4679;2025-04-03;1983;182;8;8.0;1;1412.42;40.0
11598;20/04/2024;3770;346;8;;1;4242.84;0.0
1335;22 de diciembre de 2024;3269;426;1;5.0;1;361.11;30.0
13743;18 de enero de 2024;518;370;11;33.0;1;2996.65;10.0
27144;19/11/2025;4649;119;9;;2;992.27;0.0
7279;26 de noviembre de 2024;435;438;1;4.0;2;3408.74;15.0
54009;16/04/2025;1794;298;15;;1;171.76;0.0
2970;13 de noviembre de 2025;982;435;2;;1;295.78;0.0
59011;2024-05-14;473;182;13;;3;1411.57;0.0
3132;2025-07-25;4506;208;13;12.0;1;1974.57;35.0
44022;17/10/2024;2058;136;8;3.0;1;204.9;20.0
59229;28 de marzo de 2025;447;342;10;22.0;1;3680.02;25.0
59883;25/01/2025;2348;435;14;;1;291.17;0.0
32250;07/05/2025;4605;208;14;;1;1945.35;0.0
8995;24/02/2024;1221;337;14;34.0;1;355.16;
37040;2024-03-08;2045;402;4;;1;3535.81;0.0
45661;02/12/2025;4671;208;13;11.0;2;1899.33;35.0
46466;17 de enero de 2024;751;491;7;33.0;1;1261.32;10.0
254;2024-12-31;2683;9056;1;;1;2647.29;0.0
44336;23/10/2024;3395;194;14;26.0;1;454.88;25.0
22342;20/07/2024;2557;399;4;6.0;1;234.01;35.0
33563;25/04/2024;210;208;1;;1;1798.92;0.0
6872;2025-02-12;2180;342;2;;1;3607.11;0.0
19861;25 de marzo de 2024;1628;9;1;;1;1292.55;0.0
31742;23/10/2024;4503;27;14;26.0;2;89.96;25.0
55933;12 de diciembre de 2025;3733;9;7;11.0;2;1468.07;35.0
13040;31/10/2024;3122;349;7;;2;924.91;0.0
36715;28 de noviembre de 2025;4520;435;6;39.0;1;317.21;25.0
30243;29 de diciembre de 2025;351;9;10;;1;1300.77;0.0
37669;2024-12-05;1120;9081;15;5.0;3;140.47;30.0
1296;2024-12-12;3683;50;14;5.0;1;5777.88;30.0
44776;29 de enero de 2025;1837;342;8;;1;3597.4;0.0
55213;31/10/2025;190;435;13;;1;292.51;0.0
57027;23/07/2025;4448;435;4;12.0;1;296.39;35.0
33902;09/12/2025;357;33;6;11.0;1;859.8;35.0
18556;2025-01-19;1892;409;14;;1;1310.25;0.0
20561;2024-12-28;853;426;15;;3;352.51;0.0
35309;2024-01-09;1224;449;8;18.0;1;345.76;35.0
4066;21 de octubre de 2024;1539;342;5;26.0;1;3749.83;25.0
29898;27/01/2025;1663;402;4;;1;3551.1;0.0
54994;2025-11-29;4007;435;2;39.0;3;289.11;25.0
51516;21/10/2024;2910;305;2;3.0;1;677.0;20.0
14669;04/09/2024;447;357;14;19.0;1;984.41;15.0
13155;2025-03-01;1120;194;6;;1;421.63;0.0
43434;21 de octubre de 2025;2037;46;9;9.0;3;558.4;10.0
56303;2025-12-29;555;112;13;;1;248.6;0.0
39103;05/06/2025;2670;46;12;;1;566.07;0.0
10661;2025-06-15;982;48;15;;1;599.6;0.0
58442;18/04/2025;538;142;9;;1;74.88;0.0
4169;10 de diciembre de 2025;1285;254;6;11.0;2;567.8;35.0
19272;2024-03-23;4186;185;13;1.0;1;3787.32;10.0
12898;23/03/2025;4309;46;10;22.0;1;574.4;25.0
8669;06/10/2024;4031;87;1;;1;1711.27;0.0
51593;22/10/2024;4508;342;13;3.0;1;3779.15;20.0
15573;22 de octubre de 2024;483;443;10;3.0;1;5350.72;20.0
35055;2024-01-07;705;426;6;18.0;1;340.25;35.0
